,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
1,sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
2,ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
3,wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
4,swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
5,vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0
6,ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
7,s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0
8,ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
9,ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0
10,alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0
11,ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0
12,ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0
13,ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0
14,dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0
15,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
16,ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0
17,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
18,wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0
19,sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0
20,alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0
21,ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0
22,sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0
23,alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0
24,wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0
25,swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0
26,swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0
27,swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0
28,alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0
29,ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0
30,ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0
31,ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0
32,swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0
33,ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0
34,dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0
35,sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0
36,dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0
37,800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0
